NAME,RA,DEC,P0,P1,RMS,DM,Epoch,Width,B,Ė,τ,Frequency,Rate,S_mean
J0735-6302,07:35:05(20),-63:02:00(40),4.862873966(3),159(5),6.38,19.4,56212,24,28,5.5,0.5,1400,39.65,0.4
J1048-5838,10:48:12.57(2),-58:38:18.58(15),1.231304776631(3),12.19369(7),2.22,70.7(9),53510,7,3.9,26,1.6,1400,3.98,2.4
J1226-3223,12:26:45.9(4),-32:23:14(5),6.1930029826(6),7.68(11),7.55,36.7,56114,57,6.0,0.08,20,1400,41.26,2.8
J1739-2521,17:39:32.83(10),-25:21:02(20),1.8184611641(2),0.29(3),4.85,186.4,55631,68,0.7,0.7,99,820,22.64,49
J1839-0141,18:39:07.03(3),-01:41:56.0(9),0.93326564072(6),5.943(3),1.80,293.2(6),55467,17,2.4,29,2.5,820,15.61,18
J1848-1243,18:48:17.980(8),-12:43:26.6(5),0.41438334869(2),0.440(2),1.36,88.0,55595,9,0.4,24,15,820,30.35,13
J1623-0841,16:23:42.711(10),-08:41:36.4(5),0.503014992514(6),1.9582(6),0.76,60.433(16),55079,13,1.0,61,4.1,350,35.77,84
J1623-0841,16:23:42.711(10),-08:41:36.4(5),0.503014992514(6),1.9582(6),0.76,60.433(16),55079,13,1.0,61,4.1,820,35.77,11
J1754-3014,17:54:30.08(5),-30:14:42(6),1.3204902915(3),4.424(12),3.61,99.38(10),55292,62,2.4,7.6,4.7,350,79.79,410
J1754-3014,17:54:30.08(5),-30:14:42(6),1.3204902915(3),4.424(12),3.61,99.38(10),55292,62,2.4,7.6,4.7,820,79.79,21
