NAME,RA,DEC,P0,DM,Note
J1010+15,10:10:00,15:51,,42.15,Pos_from_psrcat
J1720+00_sup,17:20:00,00:00,3.353,46.2,Pos_from_name
J1717+03_sup,17:17:00,03:00,3.901,25.6,Pos_from_name
J1603+18_sup,16:03:00,18:00,0.503,29.7,Pos_from_name
J1433+00_sup,14:33:00,00:00,--,23.5,Pos_from_name
J0550+09_sup,05:50:00,09:00,1.745,86.6,Pos_from_name
J0544+20_sup,05:44:00,20:00,--,56.9,Pos_from_name
J0156+04_sup,01:56:00,04:00,--,27.5,Pos_from_name
J1554+18_sup,15:54:00,18:00,--,23.9,Pos_from_name
J0630+19,06:30:04,19:37,1.24855,48.1,Data_from_psrcat
J2334+20,23:34:24,20:25,--,13.2,Pos_from_cand_plot
J2357+24,23:57:47,24:55,--,8.6,Pos_from_cand_plot
J1907+34,19:07:26,34:54,--,64.9,Pos_from_cand_plot
J2107+26,21:07:00,26:00,5.458,11.1,Pos_from_name
J1737+24,17:37:00,24:00,2.449,59.8,Pos_from_name
J1722+31,17:22:00,31:00,--,109.9,Pos_from_name
J1639+21,16:39:00,21:00,0.79070,14.4,Pos_from_name
J1532+00,15:32:40,00:42,--,12.3,Pos_from_cand_plot
J0327+09,03:27:58,09:35,--,93.7,Pos_from_cand_plot
J2329+04,23:29:01,04:29:06,--,12.5,Pos_from_cand_plot
