NAME,FRB first det,FRB last det,NTOA,Pulsar first det,Pulsar last det,Ndet Pulsar,Ndet total
J0012+5431,59370,58528,549,58901,59358,129,678
J0653-06,59412,59492,114,59191,59357,47,161
J0741+17,59381,59532,118,59191,59357,107,225
J1105+02,59447,59526,64,59075,59359,112,176
J1130+09,59572,59378,8,58979,59386,208,216
J1541+47,59371,59530,184,59076,59359,639,823
J2008+3758,59405,59532,233,59078,59346,44,277
J2113+73,58453,59480,26,59203,59339,21,47
J2138+69,58444,59441,34,59332,59321,16,50
J2215+4524,58401,59457,69,59078,59532,247,316
J2221+81,58443,59495,17,58909,59359,52,69
J2237+2828,58424,59525,56,59193,59533,69,125
J2316+75,58388,59491,46,58968,59073,35,81
J2355+1523,58584,59497,57,58663,59358,614,871
