NAME,Cat.,Prev.,P0,DM,Tobs,NTOA,Width,Duty Cycle,S_peak,a,--,SR,αbsp,--,Rate
J0054+6650,R,--,1.3902,14.560(2),31.5,282,14(6),1.0(4),45,--,--,10,-1.24(7),--,9.0(5)
J0102+5356,R,K15,0.3543,55.6200(8),27.3,88,4.0(1.4),1.1(4),60,--,--,8,0.13(13),--,3.2(3)
J0139+3336,P,M18,1.2480,21.223(4),16.6,157,13(6),1.0(5),43,--,--,9,-1.65(9),--,9.4(8)
J0201+7005,R,K15,1.3492,21.047(2),10.9,9,2.6(8),0.19(6),37,--,--,3,--,--,0.8(3)
J0209+5759,C,--,1.0639,55.855(4),26.6,43,13(7),1.2(7),29,--,--,5,-0.25(11),--,1.6(2)
J0226+3356,C,--,1.2401,27.397(14),18.0,--,--,--,--,--,--,--,--,--,--
J0317+1328,P,M18,1.9742,12.7452(10),10.1,59,3.2(1.3),0.16(7),41,--,--,4,-5.3(8),--,5.9(8)
J0332+79,R,K15,2.0562,16.589(7),15.4,1,5.9,0.29,15,--,--,1,--,--,(0.065)
J0348+79,C,--,--,26.09(3),26.7,6,36(15),--,9,--,--,3,--,--,0.22(9)
J0746+5514,C,--,2.8938,10.318(7),43.2,48,32(20),1.1(7),35,--,--,13,-0.13(16),--,1.11(16)
J0854+5449,C,--,1.2330,18.843(3),24.2,2,2.29(98),0.19(8),19,--,--,1,--,--,0.08(6)
J0939+45,P,--,--,17.45(4),18.5,3,19(5),--,7,--,--,2,--,--,0.16(9)
J1006+3015,P,--,3.0664,18.085(4),95.6,166,33(16),1.1(5),50,--,--,16,-2.37(12),--,1.74(13)
J1132+2513,P,S19,1.0021,23.716(7),11.2,--,--,--,--,--,--,--,--,--,--
J1218+47,P,--,--,20.144(11),34.7,13,16(9),--,13,--,--,4,--,--,0.37(10)
J1329+13,P,--,--,12.367(13),49.6,5,23(11),--,11,--,--,1,--,--,0.10(5)
J1336+3414,P,--,1.5066,8.4688(11),79.0,132,5(3),0.31(18),48,--,--,11,0.12(18),--,1.67(15)
J1400+2125,P,--,1.8555,11.214(3),86.7,43,17(6),0.9(3),29,--,--,4,-3.3(6),--,0.50(8)
J1404+1159,P,M18,2.6504,18.53(3),5.7,--,--,--,--,--,--,--,--,--,--
J1538+2345,R,K15,3.4494,14.89814(98),38.3,371,9(6),0.25(18),73,--,--,22,-1.60(12),--,9.7(5)
J1848+1516,R,M18,2.2338,77.488(11),32.5,67,41(12),1.8(6),16,--,--,3,-0.2(4),--,2.1(3)
J1931+4229,C,--,3.9210,50.987(6),53.7,133,49(20),1.2(5),22,--,--,9,-1.06(7),--,2.5(2)
J2105+19,P,--,3.5298,34.47(3),7.7,--,--,--,--,--,--,--,--,--,--
J2108+4516,C,--,0.5774,82.520(7),6.2,75,24(12),4(2),10,--,--,3,1.91(14),--,12.0(1.4)
J2138+69,C,--,--,46.530(3),30.8,9,7(2),--,20,--,--,2,--,--,0.292(97)
J2202+2134,P,S19,1.3573,17.7473(19),18.1,11,3.0(7),0.22(5),25,--,--,3,--,--,0.61(18)
J2215+4524,C,--,2.7231,18.5917(16),37.2,121,9(5),0.32(18),19,--,--,4,-1.76(17),--,3.3(3)
J2325-0530,R,--,0.8687,14.9580(8),7.0,322,10(3),1.2(4),131,--,--,11,-3.66(5),--,46(3)
J2355+1523,C,--,1.0964,26.924(16),51.9,14,17(8),1.5(7),15,--,--,3,--,--,0.27(7)
