NAME,RA,DEC,P0,DM,Width,DMobs,(S/N)SP,NTOA
J0343-3000,03:43:27,-30:00:33,2.59702,20.2,2.0,22.3,21.5,22
J0410-3113,04:37:19,-47:18:34,1.837,9.9,4.0,9.9,9.2,1
J0437-4715,04:37:19,-47:18:34,0.0057,2.6,0.3,2.6,12.8,4303
J0448-2749,04:48:48,-27:53:28,0.4504,26.2,4.0,26.4,10.2,6
J0520-2553,05:20:45,-25:56:42,0.2416,33.7,--,--,--,--
J0610-2100,06:10:15,-21:00:34,0.00386,60.6,--,--,--,--
J0630-2834,06:31:00,-28:38:41,1.2444,34.5,16.0,35.3,20.2,63
J0633-2015,06:33:20,-20:18:25,3.25321,90.7,8.0,89.7,11.0,3
J0636-4549,06:36:33,-45:49:45,1.98459,26.3,--,--,--,--
J0656-2228,06:56:31,-22:28:37,1.22475,32.4,0.3,31.1,6.9,29
J0719-2545,07:19:06,-25:44:54,0.97472,253.9,--,--,--,--
J0726-2612,07:26:09,-26:12:33,3.44231,69.4,4.0,68.8,16.8,9
J0729-1448,07:29:28,-14:51:44,0.2516,92.3,--,--,--,--
J0729-1836,07:29:43,-18:40:05,0.5101,61.2,0.3,61.0,7.4,26
J0737-3039A,07:37:53,-30:39:46,0.0227,48.9,--,--,--,--
J0737-3039B,07:37:53,-30:39:46,2.77346,48.9,--,--,--,--
J0738-4042,07:39:09,-40:44:05,0.3749,160.8,2.0,161.3,20.8,644
J0742-2822,07:43:03,-28:26:17,0.1667,73.8,2.0,73.0,18.3,2130
J0746-4529,07:47:00,-45:29:12,2.79103,134.6,--,--,--,--
J0749-4247,07:50:07,-42:50:57,1.0954,104.5,--,--,--,--
J0758-1528,07:58:42,-15:31:31,0.6822,63.3,8.0,62.9,13.4,67
J0818-3232,08:18:25,-32:32:47,2.16126,131.8,--,--,--,--
J0820-1350,08:20:39,-13:53:55,1.2381,40.9,16.0,39.9,19.0,28
J0820-3921,08:20:50,-39:21:46,1.07357,179.4,--,--,--,--
J0820-4114,08:20:32,-41:17:36,0.5454,113.4,--,--,--,--
J0821-4221,08:21:45,-42:21:44,0.39673,270.6,--,--,--,--
J0823+0159,08:23:21,+01:56:05,0.8648,23.7,8.0,22.3,15.8,54
J0828-3417,08:28:34,-34:20:06,1.8489,52.2,,52.5,13.3,5
J0835-3707,08:35:19,-37:11:03,0.5414,112.3,8.0,113.5,6.9,1
J0837-4135,08:37:40,-41:38:18,0.7516,147.3,4.0,147.8,23.2,303
J0838-2621,08:38:19,-26:21:39,0.30858,116.9,--,--,--,--
J0843+0719,08:43:33,+07:18:44,1.36586,36.6,--,--,--,--
J0846-3533,08:46:21,-35:36:36,1.116,94.1,--,--,--,--
J0855-3331,08:55:55,-33:34:28,1.2675,86.6,8.0,89.7,9.9,12
J0900-3144,09:00:44,-31:44:16,0.01111,75.7,--,--,--,--
J0908-1739,09:08:51,-17:42:24,0.4016,15.8,--,--,--,--
J0922+0638,09:22:21,+06:36:04,0.4306,27.3,4.0,26.4,18.2,195
J0944-1354,09:44:42,-13:56:45,0.5702,12.4,--,--,--,--
J0953+0755,09:53:18,+07:53:41,0.253,2.9,2.0,3.0,14.0,657
J1022+1001,10:23:05,+10:00:04,0.0164,10.3,0.5,10.4,9.6,266
J1024-0719,10:24:50,-07:20:53,0.0051,6.4,--,--,--,--
J1038+0032,10:38:27,+00:32:46,0.02885,26.6,--,--,--,--
J1046+0304,10:46:52,+03:02:44,0.3262,25.3,8.0,28.2,9.8,1
