NAME,P0,DM,RA,DEC,Tobs(m),NTOA
J0637+0332g,--,152(2),06:37:41,+03:32,20,3
J1828-0003g,--,193(3),18:55:10,-01:54,25,3
J1847-0046g,--,337(7),18:47:47,-00:46,50,6
J1850-0004g,--,154(1),18:50:05,-00:04,135,8
J1853+0209g,--,350(15),18:53:07,+02:09,230,2
J1853+0353g,--,379(2),18:53:29,+03:53,30,3
J1855-0211g,--,304(3),18:55:32,-02:11,35,5
J1855-0154g,--,417(1),18:55:09,-01:54,140,3
J1855-0054g,--,577(4),18:55:21,-00:54,60,8
J1855+0033g,--,554(1),18:55:03,+00:33,65,4
J1856+0528g,--,307(2),18:56:23,+05:28,25,6
J1859+0832g,--,259(2),18:59:27,+08:32,20,3
J1900+0908g,--,264(4),19:00:19,+09:08,35,2
J1902+0557g,--,414(2),19:02:56,+05:57,20,3
J1916+1142Ag,--,260(8),19:16:59,+11:42,65,2
J1918+0342g,--,174(5),19:18:22,+03:42,50,2
J1918+1514g,--,134(2),19:18:57,+15:14,35,2
J1921+1629g,--,105(2),19:21:47,+16:29,20,3
J1924+1734g,--,49(3),19:24:57,+17:34,20,5
J1927+1940g,--,347(2),19:27:17,+19:40,35,2
J1932+2126g,--,126(3),19:32:51,+21:26,35,3
J1933+2401g,--,185(3),19:33:36,+24:01,20,2
J1934+2341g,--,252(2),19:34:03,+23:41,35,10
J2001+4209g,--,153(2),20:01:39,+42:09,20,3
J2005+3154g,--,225(1),20:05:19,+31:54,45,9
J2030+3833g,--,417(6),20:30:31,+38:33,35,6
J1857+0229g,0.584(3),574(1),18:57:19,+02:29,65,10
J1858+0453g,3.761(4),429(1),18:58:48,+04:53,65,8
J1859+0251g,3.580(3),286(3),18:59:35,+02:51,65,15
J1904+0621g,1.232(3),173(1),19:04:55,+06:21,25,18
J1905+0156g,1.085(1),137(1),19:05:08,+01:56,30,27
J1905+0558g,0.846(2),472(1),19:05:04,+05:58,80,24
J1908+0911g,5.1661(7),132(4),19:08:09,+09:11,20,10
J1916+0937g,7.368(1),186(2),19:16:01,+09:37,95,17
J1916+1142Bg,1.188(3),318(8),19:16:59,+11:42,65,10
J1917+0834g,2.933(3),101(3),19:17:04,+08:34,35,13
J1921+1006g,3.345(9),362(8),19:21:44,+10:06,25,14
J1924+1446g,1.090(3),336(3),19:24:54,+14:46,65,10
J1935+1841g,5.529(1),290(3),19:35:03,+18:41,65,23
J1948+2314g,1.471(4),184(3),19:48:40,+23:14,20,16
J2005+3156g,2.146(1),337(2),20:05:30,+31:56,60,22
